"Name","COVID-19 Deaths by Race/Ethnicity"
"Description","Racial groups are defined such that:&nbsp;<br />
<em>Asian</em>&nbsp;= Asian or Pacific Islander<br />
<em>Black</em>&nbsp;= Black or African American<br />
<em>Hispanic</em>&nbsp;= Hispanic or Latino, regardless of race<br />
<em>White</em>&nbsp;= White&nbsp;<br />
<br />
Rates are age adjusted according to the U.S. 2000 standard population, per 100,000 people by racial/ethnic group.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Deaths were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;</strong><strong><strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on COVID-19, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data on people identified as American Indian/Alaska Native, two or more races, or other races/ethnicities are not shown, as precise race-specific population estimates are not available for these groups in NYC. Race/ethnicity information is most complete for people who have been hospitalized or have died.<br />
<br />
Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Asian,05/19,Rate,95.31,3651000
New York City,Black,05/19,Rate,206.04,3651000
New York City,Hispanic,05/19,Rate,214.48,3651000
New York City,White,05/19,Rate,102.69,3651000
New York City,Asian,05/19,Number,1228,3651000
New York City,Black,05/19,Number,4436,3651000
New York City,Hispanic,05/19,Number,4785,3651000
New York City,White,05/19,Number,4027,3651000
New York City,Asian,05/22,Rate,98.07,3651000
New York City,Black,05/22,Rate,210.26,3651000
New York City,Hispanic,05/22,Rate,219.34,3651000
New York City,White,05/22,Rate,105.01,3651000
New York City,Asian,05/22,Number,1262,3651000
New York City,Black,05/22,Number,4525,3651000
New York City,Hispanic,05/22,Number,4897,3651000
New York City,White,05/22,Number,4120,3651000
New York City,Asian,05/25,Rate,99.97,3651000
New York City,Black,05/25,Rate,213.01,3651000
New York City,Hispanic,05/25,Rate,223.68,3651000
New York City,White,05/25,Rate,105.92,3651000
New York City,Asian,05/25,Number,1285,3651000
New York City,Black,05/25,Number,4584,3651000
New York City,Hispanic,05/25,Number,4995,3651000
New York City,White,05/25,Number,4157,3651000
New York City,Asian,05/29,Number,1302,3651000
New York City,Black,05/29,Number,4652,3651000
New York City,Hispanic,05/29,Number,5070,3651000
New York City,White,05/29,Number,4225,3651000
New York City,Asian,05/29,Rate,101.39,3651000
New York City,Black,05/29,Rate,216.07,3651000
New York City,Hispanic,05/29,Rate,227.02,3651000
New York City,White,05/29,Rate,107.72,3651000
New York City,Asian,06/01,Number,1316,3651000
New York City,Black,06/01,Number,4696,3651000
New York City,Hispanic,06/01,Number,5136,3651000
New York City,White,06/01,Number,4264,3651000
New York City,Asian,06/01,Rate,102.51,3651000
New York City,Black,06/01,Rate,218.11,3651000
New York City,Hispanic,06/01,Rate,230.02,3651000
New York City,White,06/01,Rate,108.79,3651000
New York City,Asian,06/05,Number,1315,3651000
New York City,Black,06/05,Number,4730,3651000
New York City,Hispanic,06/05,Number,5211,3651000
New York City,White,06/05,Number,4300,3651000
New York City,Asian,06/05,Rate,102.46,3651000
New York City,Black,06/05,Rate,219.77,3651000
New York City,Hispanic,06/05,Rate,233.42,3651000
New York City,White,06/05,Rate,109.69,3651000
New York City,Asian,06/08,Number,1309,3651000
New York City,Black,06/08,Number,4747,3651000
New York City,Hispanic,06/08,Number,5287,3651000
New York City,White,06/08,Number,4321,3651000
New York City,Asian,06/08,Rate,101.87,3651000
New York City,Black,06/08,Rate,220.62,3651000
New York City,Hispanic,06/08,Rate,236.78,3651000
New York City,White,06/08,Rate,110.14,3651000
New York City,Asian,06/12,Number,1323,3651000
New York City,Black,06/12,Number,4804,3651000
New York City,Hispanic,06/12,Number,5345,3651000
New York City,White,06/12,Number,4355,3651000
New York City,Asian,06/12,Rate,102.91,3651000
New York City,Black,06/12,Rate,223.27,3651000
New York City,Hispanic,06/12,Rate,239.41,3651000
New York City,White,06/12,Rate,111.01,3651000
New York City,Asian,06/15,Number,1328,3651000
New York City,Black,06/15,Number,4839,3651000
New York City,Hispanic,06/15,Number,5367,3651000
New York City,White,06/15,Number,4385,3651000
New York City,Asian,06/15,Rate,103.32,3651000
New York City,Black,06/15,Rate,224.88,3651000
New York City,Hispanic,06/15,Rate,240.41,3651000
New York City,White,06/15,Rate,111.78,3651000
New York City,Asian,06/19,Number,1337,3651000
New York City,Black,06/19,Number,4872,3651000
New York City,Hispanic,06/19,Number,5405,3651000
New York City,White,06/19,Number,4409,3651000
New York City,Asian,06/19,Rate,103.96,3651000
New York City,Black,06/19,Rate,226.55,3651000
New York City,Hispanic,06/19,Rate,242.1,3651000
New York City,White,06/19,Rate,112.4,3651000
New York City,Asian,06/22,Number,1344,3651000
New York City,Black,06/22,Number,4893,3651000
New York City,Hispanic,06/22,Number,5432,3651000
New York City,White,06/22,Number,4441,3651000
New York City,Asian,06/22,Rate,104.47,3651000
New York City,Black,06/22,Rate,227.47,3651000
New York City,Hispanic,06/22,Rate,243.25,3651000
New York City,White,06/22,Rate,113.25,3651000
New York City,Asian,06/26,Number,1348,3651000
New York City,Black,06/26,Number,4932,3651000
New York City,Hispanic,06/26,Number,5478,3651000
New York City,White,06/26,Number,4483,3651000
New York City,Asian,06/26,Rate,104.77,3651000
New York City,Black,06/26,Rate,229.31,3651000
New York City,Hispanic,06/26,Rate,245.21,3651000
New York City,White,06/26,Rate,114.35,3651000
New York City,Asian,06/30,Number,1412,3651000
New York City,Black,06/30,Number,5167,3651000
New York City,Hispanic,06/30,Number,5658,3651000
New York City,White,06/30,Number,4698,3651000
New York City,Asian,06/30,Rate,109.68,3651000
New York City,Black,06/30,Rate,240.33,3651000
New York City,Hispanic,06/30,Rate,253.21,3651000
New York City,White,06/30,Rate,119.82,3651000
New York City,Asian,07/09,Number,1420,3651000
New York City,Black,07/09,Number,5214,3651000
New York City,Hispanic,07/09,Number,5707,3651000
New York City,White,07/09,Number,4744,3651000
New York City,Asian,07/09,Rate,110.26,3651000
New York City,Black,07/09,Rate,242.48,3651000
New York City,Hispanic,07/09,Rate,255.41,3651000
New York City,White,07/09,Rate,120.98,3651000
New York City,Asian,07/20,Number,1438,3651000
New York City,Black,07/20,Number,5258,3651000
New York City,Hispanic,07/20,Number,5754,3651000
New York City,White,07/20,Number,4795,3651000
New York City,Asian,07/20,Rate,111.61,3651000
New York City,Black,07/20,Rate,244.58,3651000
New York City,Hispanic,07/20,Rate,257.56,3651000
New York City,White,07/20,Rate,122.27,3651000
New York City,Asian,07/30,Number,1419,3651000
New York City,Black,07/30,Number,5272,3651000
New York City,Hispanic,07/30,Number,5809,3651000
New York City,White,07/30,Number,4809,3651000
New York City,Asian,07/30,Rate,110.3,3651000
New York City,Black,07/30,Rate,245.2,3651000
New York City,Hispanic,07/30,Rate,260.03,3651000
New York City,White,07/30,Rate,122.63,3651000
New York City,Asian,08/05,Number,1425,3651000
New York City,Black,08/05,Number,5286,3651000
New York City,Hispanic,08/05,Number,5824,3651000
New York City,White,08/05,Number,4820,3651000
New York City,Asian,08/05,Rate,110.75,3651000
New York City,Black,08/05,Rate,245.85,3651000
New York City,Hispanic,08/05,Rate,260.73,3651000
New York City,White,08/05,Rate,122.9,3651000
New York City,Asian,08/16,Number,1430,3651000
New York City,Black,08/16,Number,5301,3651000
New York City,Hispanic,08/16,Number,5846,3651000
New York City,White,08/16,Number,4838,3651000
New York City,Asian,08/16,Rate,111.19,3651000
New York City,Black,08/16,Rate,246.55,3651000
New York City,Hispanic,08/16,Rate,261.7,3651000
New York City,White,08/16,Rate,123.39,3651000
New York City,Asian,08/23,Number,1431,3651000
New York City,Black,08/23,Number,5314,3651000
New York City,Hispanic,08/23,Number,5851,3651000
New York City,White,08/23,Number,4840,3651000
New York City,Asian,08/23,Rate,111.24,3651000
New York City,Black,08/23,Rate,247.21,3651000
New York City,Hispanic,08/23,Rate,261.93,3651000
New York City,White,08/23,Rate,123.44,3651000
New York City,Asian,09/07,Number,1437,3651000
New York City,Black,09/07,Number,5336,3651000
New York City,Hispanic,09/07,Number,5873,3651000
New York City,White,09/07,Number,4860,3651000
New York City,Asian,09/07,Rate,111.72,3651000
New York City,Black,09/07,Rate,248.21,3651000
New York City,Hispanic,09/07,Rate,262.94,3651000
New York City,White,09/07,Rate,123.94,3651000
New York City,Asian,09/14,Number,1440,3651000
New York City,Black,09/14,Number,5335,3651000
New York City,Hispanic,09/14,Number,5885,3651000
New York City,White,09/14,Number,4866,3651000
New York City,Asian,09/14,Rate,111.95,3651000
New York City,Black,09/14,Rate,248.15,3651000
New York City,Hispanic,09/14,Rate,263.52,3651000
New York City,White,09/14,Rate,124.09,3651000
New York City,Asian,09/27,Number,1445,3651000
New York City,Black,09/27,Number,5345,3651000
New York City,Hispanic,09/27,Number,5915,3651000
New York City,White,09/27,Number,4873,3651000
New York City,Asian,09/27,Rate,112.28,3651000
New York City,Black,09/27,Rate,248.65,3651000
New York City,Hispanic,09/27,Rate,264.88,3651000
New York City,White,09/27,Rate,124.23,3651000
New York City,Asian,10/07,Number,1446,3651000
New York City,Black,10/07,Number,5350,3651000
New York City,Hispanic,10/07,Number,5943,3651000
New York City,White,10/07,Number,4881,3651000
New York City,Asian,10/07,Rate,112.38,3651000
New York City,Black,10/07,Rate,248.95,3651000
New York City,Hispanic,10/07,Rate,266.18,3651000
New York City,White,10/07,Rate,124.43,3651000
New York City,Asian,10/14,Number,1447,3651000
New York City,Black,10/14,Number,5357,3651000
New York City,Hispanic,10/14,Number,5950,3651000
New York City,White,10/14,Number,4894,3651000
New York City,Asian,10/14,Rate,112.48,3651000
New York City,Black,10/14,Rate,249.27,3651000
New York City,Hispanic,10/14,Rate,266.5,3651000
New York City,White,10/14,Rate,124.79,3651000
New York City,Asian,10/21,Number,1447,3651000
New York City,Black,10/21,Number,5370,3651000
New York City,Hispanic,10/21,Number,5966,3651000
New York City,White,10/21,Number,4905,3651000
New York City,Asian,10/28,Number,1437,3651000
New York City,Black,10/28,Number,5350,3651000
New York City,Hispanic,10/28,Number,5973,3651000
New York City,White,10/28,Number,4911,3651000
New York City,Asian,10/21,Rate,112.48,3651000
New York City,Black,10/21,Rate,249.91,3651000
New York City,Hispanic,10/21,Rate,267.21,3651000
New York City,White,10/21,Rate,125.07,3651000
New York City,Asian,10/28,Rate,111.75,3651000
New York City,Black,10/28,Rate,248.99,3651000
New York City,Hispanic,10/28,Rate,267.55,3651000
New York City,White,10/28,Rate,125.21,3651000
New York City,Asian,11/04,Number,1439,3651000
New York City,Black,11/04,Number,5364,3651000
New York City,Hispanic,11/04,Number,5985,3651000
New York City,White,11/04,Number,4927,3651000
New York City,Asian,11/12,Number,1448,3651000
New York City,Black,11/12,Number,5364,3651000
New York City,Hispanic,11/12,Number,5995,3651000
New York City,White,11/12,Number,4947,3651000
New York City,Asian,11/04,Rate,111.9,3651000
New York City,Black,11/04,Rate,249.65,3651000
New York City,Hispanic,11/04,Rate,268.1,3651000
New York City,White,11/04,Rate,125.56,3651000
New York City,Asian,11/12,Rate,108.22,3651000
New York City,Black,11/12,Rate,246.4,3651000
New York City,Hispanic,11/12,Rate,263.56,3651000
New York City,White,11/12,Rate,125.45,3651000
New York City,Asian,11/19,Number,1458,3651000
New York City,Black,11/19,Number,5383,3651000
New York City,Hispanic,11/19,Number,6007,3651000
New York City,White,11/19,Number,4972,3651000
New York City,Asian,11/26,Number,1466,3651000
New York City,Black,11/26,Number,5390,3651000
New York City,Hispanic,11/26,Number,6027,3651000
New York City,White,11/26,Number,5001,3651000
New York City,Asian,12/03,Number,1467,3651000
New York City,Black,12/03,Number,5398,3651000
New York City,Hispanic,12/03,Number,6036,3651000
New York City,White,12/03,Number,5020,3651000
New York City,Asian,12/11,Number,1478,3651000
New York City,Black,12/11,Number,5424,3651000
New York City,Hispanic,12/11,Number,6059,3651000
New York City,White,12/11,Number,5072,3651000
New York City,Asian,11/19,Rate,108.97,3651000
New York City,Black,11/19,Rate,247.31,3651000
New York City,Hispanic,11/19,Rate,264.09,3651000
New York City,White,11/19,Rate,126.07,3651000
New York City,Asian,11/26,Rate,109.64,3651000
New York City,Black,11/26,Rate,247.68,3651000
New York City,Hispanic,11/26,Rate,264.98,3651000
New York City,White,11/26,Rate,126.78,3651000
New York City,Asian,12/03,Rate,109.61,3651000
New York City,Black,12/03,Rate,248,3651000
New York City,Hispanic,12/03,Rate,265.35,3651000
New York City,White,12/03,Rate,127.28,3651000
New York City,Asian,12/11,Rate,110.37,3651000
New York City,Black,12/11,Rate,249.2,3651000
New York City,Hispanic,12/11,Rate,266.54,3651000
New York City,White,12/11,Rate,128.56,3651000
New York City,Asian,1/27,Number,1747,3651000
New York City,Black,1/27,Number,5798,3651000
New York City,Hispanic,1/27,Number,6547,3651000
New York City,White,1/27,Number,5849,3651000
New York City,Asian,2/12,Number,1914,3651000
New York City,Black,2/12,Number,6046,3651000
New York City,Hispanic,2/12,Number,6859,3651000
New York City,White,2/12,Number,6253,3651000
New York City,Asian,2/26,Number,2068,3651000
New York City,Black,2/26,Number,6286,3651000
New York City,Hispanic,2/26,Number,7197,3651000
New York City,White,2/26,Number,6610,3651000
New York City,Asian,3/05,Number,2123,3651000
New York City,Black,3/05,Number,6383,3651000
New York City,Hispanic,3/05,Number,7348,3651000
New York City,White,3/05,Number,6794,3651000
New York City,Asian,1/27,Rate,130.79,3651000
New York City,Black,1/27,Rate,266.34,3651000
New York City,Hispanic,1/27,Rate,288.21,3651000
New York City,White,1/27,Rate,148.1,3651000
New York City,Asian,2/12,Rate,143.44,3651000
New York City,Black,2/12,Rate,277.66,3651000
New York City,Hispanic,2/12,Rate,302.18,3651000
New York City,White,2/12,Rate,158.28,3651000
New York City,Asian,2/26,Rate,155.24,3651000
New York City,Black,2/26,Rate,288.55,3651000
New York City,Hispanic,2/26,Rate,317.2,3651000
New York City,White,2/26,Rate,167.34,3651000
New York City,Asian,3/05,Rate,159.29,3651000
New York City,Black,3/05,Rate,292.9,3651000
New York City,Hispanic,3/05,Rate,323.72,3651000
New York City,White,3/05,Rate,172.02,3651000
New York City,Asian,3/19,Number,2215,3651000
New York City,Black,3/19,Number,6565,3651000
New York City,Hispanic,3/19,Number,7559,3651000
New York City,White,3/19,Number,7057,3651000
New York City,Asian,4/02,Number,2348,3651000
New York City,Black,4/02,Number,6723,3651000
New York City,Hispanic,4/02,Number,7783,3651000
New York City,White,4/02,Number,7264,3651000
New York City,Asian,4/11,Number,2389,3651000
New York City,Black,4/11,Number,6837,3651000
New York City,Hispanic,4/11,Number,7913,3651000
New York City,White,4/11,Number,7396,3651000
New York City,Asian,3/19,Rate,166.11,3651000
New York City,Black,3/19,Rate,301.34,3651000
New York City,Hispanic,3/19,Rate,333.03,3651000
New York City,White,3/19,Rate,178.83,3651000
New York City,Asian,4/02,Rate,175.9,3651000
New York City,Black,4/02,Rate,308.55,3651000
New York City,Hispanic,4/02,Rate,342.91,3651000
New York City,White,4/02,Rate,183.99,3651000
New York City,Asian,4/11,Rate,179,3651000
New York City,Black,4/11,Rate,313.73,3651000
New York City,Hispanic,4/11,Rate,348.59,3651000
New York City,White,4/11,Rate,187.33,3651000
