"Name","COVID-19 Hospitalizations by Race/Ethnicity"
"Description","Racial groups are defined such that:&nbsp;<br />
<em>Asian</em>&nbsp;= Asian or Pacific Islander<br />
<em>Black</em>&nbsp;= Black or African American<br />
<em>Hispanic</em>&nbsp;= Hispanic or Latino, regardless of race<br />
<em>White</em>&nbsp;= White&nbsp;<br />
<br />
Rates are age adjusted according to the U.S. 2000 standard population, per 100,000 people by racial/ethnic group.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data on people identified as American Indian/Alaska Native, two or more races, or other races/ethnicities are not shown, as precise race-specific population estimates are not available for these groups in NYC. Race/ethnicity information is most complete for people who have been hospitalized or have died. Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Asian,05/19,Rate,241.61,3651000
New York City,Black,05/19,Rate,637.45,3651000
New York City,Hispanic,05/19,Rate,574.35,3651000
New York City,White,05/19,Rate,285.58,3651000
New York City,Asian,05/19,Number,3278,3651000
New York City,Black,05/19,Number,13733,3651000
New York City,Hispanic,05/19,Number,13476,3651000
New York City,White,05/19,Number,10294,3651000
New York City,Asian,05/22,Rate,244.29,3651000
New York City,Black,05/22,Rate,643.12,3651000
New York City,Hispanic,05/22,Rate,580.92,3651000
New York City,White,05/22,Rate,288.08,3651000
New York City,Asian,05/22,Number,3313,3651000
New York City,Black,05/22,Number,13851,3651000
New York City,Hispanic,05/22,Number,13633,3651000
New York City,White,05/22,Number,10388,3651000
New York City,Asian,05/25,Rate,246.55,3651000
New York City,Black,05/25,Rate,647.99,3651000
New York City,Hispanic,05/25,Rate,587.08,3651000
New York City,White,05/25,Rate,290.19,3651000
New York City,Asian,05/25,Number,3342,3651000
New York City,Black,05/25,Number,13948,3651000
New York City,Hispanic,05/25,Number,13775,3651000
New York City,White,05/25,Number,10465,3651000
New York City,Asian,05/29,Number,3356,3651000
New York City,Black,05/29,Number,14021,3651000
New York City,Hispanic,05/29,Number,13883,3651000
New York City,White,05/29,Number,10530,3651000
New York City,Asian,05/29,Rate,247.7,3651000
New York City,Black,05/29,Rate,651.58,3651000
New York City,Hispanic,05/29,Rate,591.84,3651000
New York City,White,05/29,Rate,291.9,3651000
New York City,Asian,06/01,Number,3402,3651000
New York City,Black,06/01,Number,14208,3651000
New York City,Hispanic,06/01,Number,14129,3651000
New York City,White,06/01,Number,10720,3651000
New York City,Asian,06/01,Rate,251.1,3651000
New York City,Black,06/01,Rate,660.38,3651000
New York City,Hispanic,06/01,Rate,602.26,3651000
New York City,White,06/01,Rate,297.59,3651000
New York City,Asian,06/05,Number,3409,3651000
New York City,Black,06/05,Number,14289,3651000
New York City,Hispanic,06/05,Number,14362,3651000
New York City,White,06/05,Number,10815,3651000
New York City,Asian,06/05,Rate,251.77,3651000
New York City,Black,06/05,Rate,664.35,3651000
New York City,Hispanic,06/05,Rate,612.02,3651000
New York City,White,06/05,Rate,300.21,3651000
New York City,Asian,06/08,Number,3402,3651000
New York City,Black,06/08,Number,14320,3651000
New York City,Hispanic,06/08,Number,14748,3651000
New York City,White,06/08,Number,10830,3651000
New York City,Asian,06/08,Rate,250.91,3651000
New York City,Black,06/08,Rate,665.88,3651000
New York City,Hispanic,06/08,Rate,628.88,3651000
New York City,White,06/08,Rate,300.65,3651000
New York City,Asian,06/12,Number,3426,3651000
New York City,Black,06/12,Number,14442,3651000
New York City,Hispanic,06/12,Number,14842,3651000
New York City,White,06/12,Number,10901,3651000
New York City,Asian,06/12,Rate,252.56,3651000
New York City,Black,06/12,Rate,671.76,3651000
New York City,Hispanic,06/12,Rate,632.89,3651000
New York City,White,06/12,Rate,302.64,3651000
New York City,Asian,06/15,Number,3430,3651000
New York City,Black,06/15,Number,14486,3651000
New York City,Hispanic,06/15,Number,14871,3651000
New York City,White,06/15,Number,10930,3651000
New York City,Asian,06/15,Rate,252.87,3651000
New York City,Black,06/15,Rate,673.87,3651000
New York City,Hispanic,06/15,Rate,634.13,3651000
New York City,White,06/15,Rate,303.51,3651000
New York City,Asian,06/19,Number,3453,3651000
New York City,Black,06/19,Number,14667,3651000
New York City,Hispanic,06/19,Number,15028,3651000
New York City,White,06/19,Number,11052,3651000
New York City,Asian,06/19,Rate,254.44,3651000
New York City,Black,06/19,Rate,682.74,3651000
New York City,Hispanic,06/19,Rate,640.74,3651000
New York City,White,06/19,Rate,307.27,3651000
New York City,Asian,06/22,Number,3465,3651000
New York City,Black,06/22,Number,14699,3651000
New York City,Hispanic,06/22,Number,15083,3651000
New York City,White,06/22,Number,11080,3651000
New York City,Asian,06/22,Rate,255.33,3651000
New York City,Black,06/22,Rate,684.3,3651000
New York City,Hispanic,06/22,Rate,643.04,3651000
New York City,White,06/22,Rate,308.12,3651000
New York City,Asian,06/26,Number,3462,3651000
New York City,Black,06/26,Number,14759,3651000
New York City,Hispanic,06/26,Number,15203,3651000
New York City,White,06/26,Number,11126,3651000
New York City,Asian,06/26,Rate,255.28,3651000
New York City,Black,06/26,Rate,687.11,3651000
New York City,Hispanic,06/26,Rate,648.14,3651000
New York City,White,06/26,Rate,309.4,3651000
New York City,Asian,06/30,Number,3483,3651000
New York City,Black,06/30,Number,14873,3651000
New York City,Hispanic,06/30,Number,15348,3651000
New York City,White,06/30,Number,11200,3651000
New York City,Asian,06/30,Rate,256.87,3651000
New York City,Black,06/30,Rate,692.6,3651000
New York City,Hispanic,06/30,Rate,654.32,3651000
New York City,White,06/30,Rate,311.53,3651000
New York City,Asian,07/09,Number,3506,3651000
New York City,Black,07/09,Number,14966,3651000
New York City,Hispanic,07/09,Number,15468,3651000
New York City,White,07/09,Number,11262,3651000
New York City,Asian,07/09,Rate,258.45,3651000
New York City,Black,07/09,Rate,697.1,3651000
New York City,Hispanic,07/09,Rate,659.32,3651000
New York City,White,07/09,Rate,313.36,3651000
New York City,Asian,07/20,Number,3533,3651000
New York City,Black,07/20,Number,15055,3651000
New York City,Hispanic,07/20,Number,15614,3651000
New York City,White,07/20,Number,11324,3651000
New York City,Asian,07/20,Rate,260.51,3651000
New York City,Black,07/20,Rate,701.71,3651000
New York City,Hispanic,07/20,Rate,665.48,3651000
New York City,White,07/20,Rate,315.09,3651000
New York City,Asian,07/30,Number,3539,3651000
New York City,Black,07/30,Number,15142,3651000
New York City,Hispanic,07/30,Number,15773,3651000
New York City,White,07/30,Number,11394,3651000
New York City,Asian,07/30,Rate,261,3651000
New York City,Black,07/30,Rate,705.96,3651000
New York City,Hispanic,07/30,Rate,672.2,3651000
New York City,White,07/30,Rate,317.02,3651000
New York City,Asian,08/05,Number,3561,3651000
New York City,Black,08/05,Number,15225,3651000
New York City,Hispanic,08/05,Number,15912,3651000
New York City,White,08/05,Number,11458,3651000
New York City,Asian,08/05,Rate,262.66,3651000
New York City,Black,08/05,Rate,709.85,3651000
New York City,Hispanic,08/05,Rate,678.1,3651000
New York City,White,08/05,Rate,318.94,3651000
New York City,Asian,08/16,Number,3593,3651000
New York City,Black,08/16,Number,15299,3651000
New York City,Hispanic,08/16,Number,16147,3651000
New York City,White,08/16,Number,11514,3651000
New York City,Asian,08/16,Rate,265.03,3651000
New York City,Black,08/16,Rate,713.26,3651000
New York City,Hispanic,08/16,Rate,687.97,3651000
New York City,White,08/16,Rate,320.48,3651000
New York City,Asian,08/23,Number,3601,3651000
New York City,Black,08/23,Number,15348,3651000
New York City,Hispanic,08/23,Number,16222,3651000
New York City,White,08/23,Number,11543,3651000
New York City,Asian,08/23,Rate,265.57,3651000
New York City,Black,08/23,Rate,715.7,3651000
New York City,Hispanic,08/23,Rate,691.22,3651000
New York City,White,08/23,Rate,321.43,3651000
New York City,Asian,09/07,Number,3629,3651000
New York City,Black,09/07,Number,15416,3651000
New York City,Hispanic,09/07,Number,16360,3651000
New York City,White,09/07,Number,11624,3651000
New York City,Asian,09/07,Rate,267.73,3651000
New York City,Black,09/07,Rate,719.01,3651000
New York City,Hispanic,09/07,Rate,697.04,3651000
New York City,White,09/07,Rate,323.71,3651000
New York City,Asian,09/14,Number,3637,3651000
New York City,Black,09/14,Number,15441,3651000
New York City,Hispanic,09/14,Number,16403,3651000
New York City,White,09/14,Number,11648,3651000
New York City,Asian,09/14,Rate,268.37,3651000
New York City,Black,09/14,Rate,720.23,3651000
New York City,Hispanic,09/14,Rate,698.78,3651000
New York City,White,09/14,Rate,324.36,3651000
New York City,Asian,09/27,Number,3699,3651000
New York City,Black,09/27,Number,15627,3651000
New York City,Hispanic,09/27,Number,16706,3651000
New York City,White,09/27,Number,11831,3651000
New York City,Asian,09/27,Rate,272.67,3651000
New York City,Black,09/27,Rate,728.95,3651000
New York City,Hispanic,09/27,Rate,711.51,3651000
New York City,White,09/27,Rate,329.72,3651000
New York City,Asian,10/07,Number,3799,3651000
New York City,Black,10/07,Number,15469,3651000
New York City,Hispanic,10/07,Number,16952,3651000
New York City,White,10/07,Number,11838,3651000
New York City,Asian,10/07,Rate,280.32,3651000
New York City,Black,10/07,Rate,722.13,3651000
New York City,Hispanic,10/07,Rate,721.57,3651000
New York City,White,10/07,Rate,330.48,3651000
New York City,Asian,10/14,Number,3822,3651000
New York City,Black,10/14,Number,15511,3651000
New York City,Hispanic,10/14,Number,17005,3651000
New York City,White,10/14,Number,11938,3651000
New York City,Asian,10/14,Rate,282.04,3651000
New York City,Black,10/14,Rate,724.25,3651000
New York City,Hispanic,10/14,Rate,723.81,3651000
New York City,White,10/14,Rate,333.41,3651000
New York City,Asian,10/21,Number,3886,3651000
New York City,Black,10/21,Number,15660,3651000
New York City,Hispanic,10/21,Number,17181,3651000
New York City,White,10/21,Number,12169,3651000
New York City,Asian,10/28,Number,3922,3651000
New York City,Black,10/28,Number,15690,3651000
New York City,Hispanic,10/28,Number,17278,3651000
New York City,White,10/28,Number,12293,3651000
New York City,Asian,10/21,Rate,286.77,3651000
New York City,Black,10/21,Rate,731.66,3651000
New York City,Hispanic,10/21,Rate,731.13,3651000
New York City,White,10/21,Rate,339.98,3651000
New York City,Asian,10/28,Rate,289.28,3651000
New York City,Black,10/28,Rate,733.17,3651000
New York City,Hispanic,10/28,Rate,735.08,3651000
New York City,White,10/28,Rate,343.64,3651000
New York City,Asian,11/04,Number,3957,3651000
New York City,Black,11/04,Number,15759,3651000
New York City,Hispanic,11/04,Number,17400,3651000
New York City,White,11/04,Number,12408,3651000
New York City,Asian,11/12,Number,3988,3651000
New York City,Black,11/12,Number,15826,3651000
New York City,Hispanic,11/12,Number,17506,3651000
New York City,White,11/12,Number,12518,3651000
New York City,Asian,11/04,Rate,291.92,3651000
New York City,Black,11/04,Rate,736.54,3651000
New York City,Hispanic,11/04,Rate,740.24,3651000
New York City,White,11/04,Rate,346.94,3651000
New York City,Asian,11/12,Rate,286.77,3651000
New York City,Black,11/12,Rate,741.8,3651000
New York City,Hispanic,11/12,Rate,741.16,3651000
New York City,White,11/12,Rate,352.36,3651000
New York City,Asian,11/19,Number,4061,3651000
New York City,Black,11/19,Number,15944,3651000
New York City,Hispanic,11/19,Number,17734,3651000
New York City,White,11/19,Number,12701,3651000
New York City,Asian,11/26,Number,4132,3651000
New York City,Black,11/26,Number,16100,3651000
New York City,Hispanic,11/26,Number,17950,3651000
New York City,White,11/26,Number,12937,3651000
New York City,Asian,12/03,Number,4219,3651000
New York City,Black,12/03,Number,16255,3651000
New York City,Hispanic,12/03,Number,18199,3651000
New York City,White,12/03,Number,13204,3651000
New York City,Asian,12/11,Number,4370,3651000
New York City,Black,12/11,Number,16564,3651000
New York City,Hispanic,12/11,Number,18744,3651000
New York City,White,12/11,Number,13650,3651000
New York City,Asian,11/19,Rate,292.04,3651000
New York City,Black,11/19,Rate,747.53,3651000
New York City,Hispanic,11/19,Rate,750.77,3651000
New York City,White,11/19,Rate,357.69,3651000
New York City,Asian,11/26,Rate,297.48,3651000
New York City,Black,11/26,Rate,755.12,3651000
New York City,Hispanic,11/26,Rate,759.74,3651000
New York City,White,11/26,Rate,364.8,3651000
New York City,Asian,12/03,Rate,303.58,3651000
New York City,Black,12/03,Rate,762.63,3651000
New York City,Hispanic,12/03,Rate,770.11,3651000
New York City,White,12/03,Rate,372.63,3651000
New York City,Asian,12/11,Rate,314.05,3651000
New York City,Black,12/11,Rate,777.41,3651000
New York City,Hispanic,12/11,Rate,793.11,3651000
New York City,White,12/11,Rate,385.36,3651000
New York City,Asian,1/27,Number,6344,3651000
New York City,Black,1/27,Number,19888,3651000
New York City,Hispanic,1/27,Number,23760,3651000
New York City,White,1/27,Number,17812,3651000
New York City,Asian,2/12,Number,7016,3651000
New York City,Black,2/12,Number,21387,3651000
New York City,Hispanic,2/12,Number,25518,3651000
New York City,White,2/12,Number,19317,3651000
New York City,Asian,2/26,Number,7796,3651000
New York City,Black,2/26,Number,22831,3651000
New York City,Hispanic,2/26,Number,27441,3651000
New York City,White,2/26,Number,20911,3651000
New York City,Asian,3/05,Number,8140,3651000
New York City,Black,3/05,Number,23462,3651000
New York City,Hispanic,3/05,Number,28260,3651000
New York City,White,3/05,Number,21482,3651000
New York City,Asian,1/27,Rate,455.94,3651000
New York City,Black,1/27,Rate,933.63,3651000
New York City,Hispanic,1/27,Rate,1005.23,3651000
New York City,White,1/27,Rate,500.49,3651000
New York City,Asian,2/12,Rate,504.73,3651000
New York City,Black,2/12,Rate,1004.86,3651000
New York City,Hispanic,2/12,Rate,1080.1,3651000
New York City,White,2/12,Rate,541.63,3651000
New York City,Asian,2/26,Rate,560.37,3651000
New York City,Black,2/26,Rate,1073.07,3651000
New York City,Hispanic,2/26,Rate,1161.56,3651000
New York City,White,2/26,Rate,586.26,3651000
New York City,Asian,3/05,Rate,585.07,3651000
New York City,Black,3/05,Rate,1102.75,3651000
New York City,Hispanic,3/05,Rate,1196.11,3651000
New York City,White,3/05,Rate,602.67,3651000
New York City,Asian,3/19,Number,8657,3651000
New York City,Black,3/19,Number,24473,3651000
New York City,Hispanic,3/19,Number,29507,3651000
New York City,White,3/19,Number,22492,3651000
New York City,Asian,4/02,Number,9218,3651000
New York City,Black,4/02,Number,25503,3651000
New York City,Hispanic,4/02,Number,30500,3651000
New York City,White,4/02,Number,23522,3651000
New York City,Asian,4/11,Number,9445,3651000
New York City,Black,4/11,Number,26085,3651000
New York City,Hispanic,4/11,Number,31136,3651000
New York City,White,4/11,Number,23958,3651000
New York City,Asian,3/19,Rate,622.31,3651000
New York City,Black,3/19,Rate,1150.98,3651000
New York City,Hispanic,3/19,Rate,1248.65,3651000
New York City,White,3/19,Rate,631.9,3651000
New York City,Asian,4/02,Rate,662.06,3651000
New York City,Black,4/02,Rate,1199.64,3651000
New York City,Hispanic,4/02,Rate,1290.89,3651000
New York City,White,4/02,Rate,661.97,3651000
New York City,Asian,4/11,Rate,678.11,3651000
New York City,Black,4/11,Rate,1227.38,3651000
New York City,Hispanic,4/11,Rate,1317.43,3651000
New York City,White,4/11,Rate,674.69,3651000
